fecha,turbina_vapor,turbina_gas,geotermica,solar,eolica,plantas_hidraulicas,motores_reciprocantes,importaciones_sin,exportaciones_sin,demanda_maxima_sni,subtotal_generacion_sni
10/04/2021,20277.995,59.7,728.1075,673.545,225.3825,9824.455,24.025000000000002,2729.04,-2006.1375,1657.79,31813.21
16/04/2021,20015.52,60.0,723.0425,690.935,217.425,10855.785,759.3125,4198.5,-2471.72,1752.8174999999999,33322.02
17/04/2021,19378.8825,60.0,722.6275,668.335,241.6125,8881.3525,28.85,3908.6275,-1645.54,1652.9624999999999,29981.66
12/04/2021,17539.66,86.875,715.3975,705.425,176.92249999999999,10924.135,1696.1575,4504.75,-2005.2575,1808.73,31844.5725
11/04/2021,17624.8325,57.5,725.785,674.235,178.95250000000001,9094.195,19.200000000000003,3781.75,-2115.125,1620.7250000000001,28374.7
13/04/2021,17881.7075,57.5,713.9525,657.2,179.29749999999999,10708.09,2616.875,4147.25,-1989.1775,1764.2925,32814.6225
14/04/2021,19185.81,8.125,728.255,492.525,130.4525,11649.98,2125.6175,3367.25,-2705.5775,1760.7825,34320.765
15/04/2021,19852.72,60.0,725.4025,414.865,158.29,11632.625,1185.645,3397.0,-2667.055,1735.2525,34029.5475
18/04/2021,16453.005,29.375,726.9425,501.045,113.6675,8983.397500000001,237.1,3664.035,-1312.3975,1572.455,27044.5325
19/04/2021,17363.0225,45.0,720.0875,519.98,169.395,13430.1525,19.200000000000003,3461.25,-2556.35,1732.6525,32266.837499999998
21/04/2021,17068.4875,60.0,703.915,392.40000000000003,1106.585,13381.4275,22.900000000000002,3441.25,-2307.43,1744.13,32735.715
22/04/2021,17293.845,50.0,704.1275,663.9200000000001,1258.6825,13164.22,282.775,3167.43,-2389.77,1774.2724999999998,33417.57
28/04/2021,19422.6175,60.03,732.095,466.99,129.83,10300.35,1900.2875,3996.25,-2350.3375,1785.42,33012.2
27/04/2021,19005.8025,60.0,724.3675,457.47499999999997,422.9925,10118.22,2520.5350000000003,3703.25,-2167.5099999999998,1809.2175,33309.3925
20/04/2021,18859.0775,60.0,705.925,379.09000000000003,117.72,12937.86,344.975,3648.0,-2829.6175,1775.14,33404.6475
25/04/2021,15881.36,20.0,709.65,609.855,224.125,11377.8925,134.49,2219.395,-1545.92,1593.0,28957.3725
26/04/2021,19072.704999999998,47.5,714.73,576.985,325.27750000000003,10807.1125,1876.4525,2918.75,-2318.9925,1781.4875,33420.7625
23/04/2021,17971.5075,52.5,739.6025,618.84,396.9625,12863.4225,738.71,2945.94,-2351.675,1765.19,33381.545
24/04/2021,18118.965,60.0,742.295,419.055,113.09,11708.365,1150.0225,1893.55,-1901.1675,1669.4299999999998,32311.7925
30/04/2021,17911.9625,75.0,742.105,472.56,100.265,10995.845,1735.835,4611.075,-2283.1075,1711.955,32033.572500000002
04/05/2021,17551.305,0.0,735.3,291.935,154.88,12632.32,752.06,4600.75,-3023.8275,1724.4850000000001,32117.8
01/05/2021,15466.205,60.0,735.5775,532.32,170.115,11093.0625,97.58,4306.555,-1822.0175,1560.3075,28154.86
03/05/2021,16201.04,40.0,736.4425,329.315,287.81,11777.005,1500.38,4607.7125,-2651.9425,1714.1174999999998,30871.9925
02/05/2021,13656.68,60.0,731.82,344.46,196.81,11436.6125,46.31,3869.505,-2099.33,1536.155,26472.6925
05/05/2021,16960.670000000002,0.0,700.7025,462.74,92.025,13085.315,101.83500000000001,4929.75,-2686.225,1670.72,31403.287500000002
29/04/2021,18964.0775,111.875,739.7075,306.6,129.2375,10399.1,2036.5875,4197.51,-2282.2325,1772.8675,32687.185
